,Feature,Median,Standard Deviation,Min,Max
0,TOTAL_ENERGY_1000BTU,70737.35,50189.92,1182.22,506714.32
1,REPORTED_SQ_FT,1500.0,883.22,240.0,12100.0
2,NUM_TOTAL_ROOMS,6.0,2.37,1.0,15.0
3,HOUSE_MEMBER_COUNT,2.0,1.37,1.0,7.0
4,TOTAL_ELECTRICITY_COST_$,1200.9,813.85,-150.51,10574.78
5,TOTAL_NATURAL_GAS_COST_$,433.41,481.95,0.0,7470.63
6,NUM_BEDROOMS,3.0,1.1,0.0,6.0
7,NUM_FULL_BATHROOMS,2.0,0.76,0.0,4.0
8,NUM_HALF_BATHROOMS,0.0,0.52,0.0,2.0
9,NUM_OTHER_ROOMS,3.0,1.62,1.0,9.0
10,NUM_WEEKDAYS_AT_HOME,5.0,1.6,0.0,5.0
11,NUMFRIG,1.0,0.7,0.0,9.0
12,NUMFREEZ,0.0,0.57,0.0,8.0
13,NUMOVEN,0.0,0.49,0.0,3.0
14,NUMMICRO,1.0,0.3,0.0,3.0
15,NUM_ELECTRONIC_DEVICES,8.0,4.24,0.0,42.0
16,NUMCFAN,2.0,2.02,0.0,15.0
17,NUMLIGHTS_1_4_HRS_DAY,4.0,6.08,0.0,90.0
18,NUMLIGHTS_4_8_HRS_DAY,2.0,4.62,0.0,84.0
19,NUMLIGHTS_MORE_8_HRS_DAY,0.0,3.75,0.0,99.0
20,HDD,4221.0,2260.55,0.0,14111.0
21,CDD,1256.0,1190.09,0.0,5414.0
